Category,Parameter,Value
Layer Height,Layer height,0.16 mm (for quality) or 0.2 mm (balanced)
Layer Height,First layer height,0.24 mm (120% of layer height - improves bed adhesion and first layer reliability)
Layer Height,Adaptive layer height,"Enabled, range 0.12-0.24 mm (automatically adjusts for optimal detail vs speed)"
Line Width,Default,0.42 mm (105% of nozzle diameter - slightly wider for better layer adhesion)
Line Width,First layer,0.44 mm (110% of nozzle diameter - wider for better bed adhesion)
Line Width,Outer wall,0.42 mm (105% of nozzle diameter - maintains dimensional accuracy)
Line Width,Inner wall,0.48 mm (120% of nozzle diameter - faster printing while maintaining strength)
Line Width,Top surface,0.42 mm (105% of nozzle diameter - smooth finish for functional surfaces)
Line Width,Sparse infill,0.48 mm (120% of nozzle diameter - faster infill printing)
Line Width,Internal solid infill,0.48 mm (120% of nozzle diameter - strong internal structure)
Line Width,Support,0.42 mm (105% of nozzle diameter - reliable support material)
Seam,Seam position,Aligned (or Back for aesthetic models - aligned creates predictable seam placement)
Seam,Staggered inner seams,Enabled (distributes stress across layers for stronger parts)
Seam,Seam gap,10% (range 0-15% - minimizes visible seam while maintaining strength)
Seam,Scarf joint seam (beta),Disabled (experimental feature - not needed for functional prints)
Role base wipe speed,Wipe speed,80% (reduces stringing without excessive nozzle pressure)
Role base wipe speed,Wipe on loops,Enabled (cleans nozzle between perimeters for cleaner walls)
Role base wipe speed,Wipe before external loop,Enabled (ensures clean outer wall appearance)
Precision,Slice gap closing radius,0.049 mm (closes small gaps in model geometry for solid prints)
Precision,Resolution,0.005 mm (improved from default 0.08 - higher precision for dimensional accuracy)
Precision,Arc fitting,Disabled (for Klipper) or Enabled (for Marlin - firmware dependent feature)
Precision,X-Y hole compensation,0 mm (no compensation needed - calibrate printer for accuracy instead)
Precision,X-Y contour compensation,0 mm (no compensation needed - proper calibration preferred)
Precision,Elephant foot compensation,0.2 mm (compensates for first layer squish affecting dimensional accuracy)
Precision,Elephant foot compensation layers,3 (applies compensation to first 3 layers where squish occurs)
Precise wall,Precise wall,Enabled (improves wall accuracy and surface quality)
Precise wall,Precise Z height,Enabled (maintains consistent layer heights for dimensional accuracy)
Precise wall,Convert holes to polyholes,Enabled (improves circular hole accuracy in 3D printing)
Ironing,Ironing type,Disabled (for functional prints - not needed for structural parts)
Ironing,Ironing,Disabled (saves time and material - unnecessary for functional prints)
Wall generator,Wall generator,Arachne (advanced wall generation for better dimensional accuracy)
Wall generator,Wall transitioning threshold angle,10° (controls when walls transition widths)
Wall generator,Wall transitioning filter margin,25% (smooths wall width transitions)
Wall generator,Wall transition length,100% (gradual transitions for consistent wall strength)
Wall generator,Wall distribution count,1 (single wall distribution for predictable results)
Wall generator,First layer minimum wall width,0.4 mm (100% of nozzle diameter - ensures reliable first layer)
Wall generator,Minimum wall width,0.34 mm (85% of nozzle diameter - prevents thin wall artifacts)
Wall generator,Minimum feature size,25% (filters out unprintably small features)
Wall generator,Minimum wall length,0 mm (no minimum - prints all features regardless of size)
Walls and surfaces,Walls printing order,"Inner, Outer, Inner (inner walls first for dimensional accuracy)"
Walls and surfaces,Print infill first,Disabled (walls first ensures accurate outer dimensions)
Walls and surfaces,Wall loop direction,Counterclockwise (consistent direction for uniform surface finish)
Walls and surfaces,Top surface flow ratio,0.95 (slightly reduced flow prevents over-extrusion on top surfaces)
Walls and surfaces,Bottom surface flow ratio,1.0 (full flow for strong bottom layer adhesion)
Walls and surfaces,Only one wall on top surfaces,Disabled (multiple walls provide better strength)
Walls and surfaces,Only one wall on first layer,Disabled (multiple walls ensure reliable first layer)
Walls and surfaces,Avoid crossing walls,Enabled (reduces stringing and maintains clean walls)
Walls and surfaces,Avoid crossing walls - Max detour length,0 mm (disabled - unlimited detour for clean travel)
Walls and surfaces,Small area flow compensation (beta),Disabled (experimental - not needed for functional prints)
Bridging,Bridge flow ratio,0.9 (slightly reduced flow prevents sagging bridges)
Bridging,Internal bridge flow ratio,0.9 (consistent bridging flow for internal structures)
Bridging,External bridge density,100% (full density for strong external bridges)
Bridging,Internal bridge density,100% (full density for strong internal bridges)
Bridging,Thick external bridges,Enabled (multiple layers for stronger bridges)
Bridging,Thick internal bridges,Enabled (stronger internal bridging structures)
Bridging,Extra bridge layers (beta),0 (standard bridging - no extra layers needed)
Bridging,Filter out small internal bridges,Enabled (removes unnecessary small bridges)
Bridging,Bridge counterbore holes,Enabled (improves hole accuracy in bridged areas)
Overhangs,Detect overhang walls,Enabled (automatically identifies overhanging geometry)
Overhangs,Make overhangs printable,Enabled (adjusts settings for better overhang printing)
Overhangs,Extra perimeters on overhangs,Enabled (additional walls for stronger overhangs)
Overhangs,Reverse on even,Disabled (maintains consistent printing direction)
Walls,Wall loops,3 (three perimeters provide good strength-to-time ratio for functional parts)
Walls,Alternate extra wall,Disabled (consistent wall count for predictable strength)
Walls,Detect thin walls,Enabled (ensures thin features are properly printed)
Top/bottom shells,Top shell layers,5 (at 0.2mm layer height - provides strong top surface)
Top/bottom shells,Top shell thickness,1.0 mm (adequate thickness for structural integrity)
Top/bottom shells,Top surface pattern,Monotonic (consistent direction for smooth functional surfaces)
Top/bottom shells,Bottom shell layers,4 (strong bottom for good bed adhesion and part strength)
Top/bottom shells,Bottom shell thickness,0.8 mm (adequate bottom thickness for structural support)
Top/bottom shells,Bottom surface pattern,Monotonic (consistent pattern for reliable bottom surface)
Top/bottom shells,Top/Bottom solid infill/wall overlap,15% (good bonding between walls and solid infill)
Infill,Sparse infill density,15-20% (balanced strength and material usage for functional parts)
Infill,Sparse infill pattern,Grid or Gyroid (Grid for strength, Gyroid for lightweight strength)
Infill,Maximum length of the infill anchor,1000 mm (long anchors ensure infill attachment)
Infill,Sparse infill anchor length,600% (strong infill-to-wall connection)
Infill,Internal solid infill pattern,Monotonic (consistent pattern for strong solid areas)
Infill,Apply gap fill,Enabled (fills small gaps for solid functional parts)
Infill,Filter out tiny gaps,Enabled (removes unprintable tiny gaps)
Infill,Infill/wall overlap,15% (ensures good bonding between infill and walls)
Advanced Infill,Sparse infill direction,45° (diagonal infill provides isotropic strength)
Advanced Infill,Solid infill direction,45° (diagonal solid infill for consistent strength)
Advanced Infill,Rotate solid infill direction,Enabled (alternating angles reduce layer adhesion issues)
Advanced Infill,External bridge infill direction,0° (perpendicular to bridge span for maximum strength)
Advanced Infill,Internal bridge infill direction,0° (consistent bridge orientation)
Advanced Infill,Minimum sparse infill threshold,10 mm² (small areas get solid infill for strength)
Advanced Infill,Infill combination,Disabled (consistent infill pattern throughout)
Advanced Infill,Detect narrow internal solid infill,Enabled (ensures narrow areas are properly filled)
Advanced Infill,Ensure vertical shell thickness,Enabled (maintains consistent wall thickness)
Speed Settings,First layer speed,12 mm/s (slow first layer for excellent bed adhesion)
Speed Settings,First layer infill,12 mm/s (slow infill on first layer for reliability)
Speed Settings,Initial layer travel speed,50 mm/s (moderate travel speed to avoid bed collision)
Speed Settings,Number of slow layers,2 (first two layers printed slowly for reliability)
Speed Settings,Outer wall,25 mm/s (slow outer walls for dimensional accuracy)
Speed Settings,Inner wall,40 mm/s (moderate speed balances quality and print time)
Speed Settings,Small perimeters,50% (slower speed for small details improves accuracy)
Speed Settings,Small perimeters threshold,6.5 mm² (defines what constitutes small perimeters)
Speed Settings,Sparse infill,50 mm/s (faster infill speed reduces print time)
Speed Settings,Internal solid infill,50 mm/s (moderate speed for solid areas)
Speed Settings,Top surface,25 mm/s (slow top surface for smooth functional finish)
Speed Settings,Gap infill,25 mm/s (slow gap fill for accurate small feature printing)
Speed Settings,Support,50 mm/s (moderate support speed for reliable support material)
Speed Settings,Bridge,25 mm/s (slow bridging for successful bridges without support)
Speed Settings,Travel speed,120 mm/s (fast travel reduces print time without affecting quality)
Overhang Speed,Overhang speed,75% (reduced speed for better overhang quality)
Overhang Speed,Slow down for overhangs,Enabled (automatically reduces speed for overhangs)
Overhang Speed,Slow down for curled perimeters,Enabled (prevents print head collisions with curled material)
